subject_number,subject_name,subject_location,Baseline,Drink,Dosage(mL),Repetitions,Difference
132,Yuval Kumar,Colmar 207,33,sugar free energy drink,250,32,-0.0303
133,Naadir Laha,Colmar 9,31,water,500,30,-0.0323
134,Jacques Lund,Colmar 132,28,sugar water,500,32,0.1429
135,Blaise Morris,Mahuti 28,31,water,750,32,0.0323
136,Zachary Mardia,Colmar 142,34,sugar water,500,35,0.0294
137,Stephan Marin,Colmar 11,32,sugar free energy drink,250,35,0.0938
138,Nathan McCarthy,Colmar 76,32,sugar water,500,29,-0.0938
139,Rene McCarthy,Colmar 7,26,sugar free energy drink,500,28,0.0769
140,Amon Morris,Colmar 150,29,water,750,28,-0.0345
141,Samuel Petit,Colmar 160,29,sugar free energy drink,500,29,0.0000
142,Luke Price,Colmar 1,33,sugar water,750,33,0.0000
143,Alexis Bousquet,Arcadia 326,38,sugar free energy drink,250,35,-0.0789
144,Blade Mccarthy,Arcadia 324,35,sugar water,250,33,-0.0571
145,Radhak Datta,Arcadia 305,31,sugar free energy drink,250,30,-0.0323
146,Hans Nagel,Arcadia 287,32,sugar free energy drink,500,31,-0.0313
147,Etienne Dupont,Arcadia 265,35,sugar free energy drink,750,31,-0.1143
148,Sven Solberg,Arcadia 258,25,sugar free energy drink,250,25,0.0000
149,Takero Taniguchi,Arcadia 253,32,sugar water,250,35,0.0938
150,Patrick Mori,Arcadia 251,28,water,750,30,0.0714
151,Crawford Stewart,Arcadia 236,34,water,750,33,-0.0294
152,Ryotaro Ichikawa,Arcadia 230,32,sugar water,750,33,0.0313
153,Yashiro Nakano,Arcadia 222,38,sugar water,500,39,0.0263
154,Nathan Mccarthy,Arcadia 219,32,sugar water,750,34,0.0625
155,Yanick Monnier,Arcadia 211,32,water,250,35,0.0938
156,Auna Brown,Arcadia 208,35,sugar free energy drink,750,35,0.0000
157,Erik Eklund,Arcadia 205,34,water,500,33,-0.0294
158,Raine Hall,Arcadia 197,30,water,750,32,0.0667
159,Magnar Blomgren,Helluland 58,34,sugar water,500,34,0.0000
160,Hallmar Eklund,Arcadia 191,37,sugar water,250,34,-0.0811
161,Jash Khan,Arcadia 187,34,sugar water,250,38,0.1176
162,Katsuhito Yokoyama,Arcadia 183,30,sugar water,750,35,0.1667
163,Masato Morris,Arcadia 179,34,water,500,36,0.0588
164,Cameron Kimura,Arcadia 176,35,water,750,31,-0.1143
165,Haru Ito,Arcadia 160,30,sugar water,750,26,-0.1333
166,Gunnar Solberg,Arcadia 159,29,sugar water,750,31,0.0690
167,Desmond Moore,Arcadia 158,38,water,250,31,-0.1842
168,Zentaro Sakurai,Arcadia 150,23,sugar free energy drink,750,27,0.1739
169,Douglas Fleming,Arcadia 149,37,sugar water,250,39,0.0541
170,Jacque Simon,Arcadia 145,33,sugar free energy drink,750,33,0.0000
171,Souta Suzuki,Arcadia 137,30,sugar free energy drink,500,29,-0.0333
172,Austin Wilson,Arcadia 120,36,sugar water,750,32,-0.1111
173,Ren Sato,Arcadia 134,29,water,750,28,-0.0345
174,Hallmar Ibsen,Arcadia 115,32,sugar water,750,36,0.1250
175,Kyle Sato,Arcadia 110,28,sugar water,500,29,0.0357
176,Mike Yamada,Arcadia 1287,26,sugar free energy drink,750,24,-0.0769
177,Gunnar Jensen,Arcadia 96,34,sugar free energy drink,250,33,-0.0294
178,Serge Fabre,Arcadia 90,28,sugar free energy drink,500,32,0.1429
179,Raymond Thomson,Arcadia 84,37,sugar water,500,41,0.1081
180,Michael Solberg,Arcadia 86,34,sugar water,750,37,0.0882
181,Tom Morris,Arcadia 66,33,water,500,32,-0.0303
182,Inesh Bhasin,Arcadia 62,41,sugar free energy drink,750,36,-0.1220
183,Pranay Lingutla,Arcadia 55,33,sugar free energy drink,500,34,0.0303
184,Armand Suzuki,Arcadia 54,35,water,750,34,-0.0286
185,Lars Solberg,Hayarano 3,31,sugar water,500,33,0.0645
186,Raine Anand,Arcadia 51,38,sugar free energy drink,750,38,0.0000
187,Kyoji Shibata,Arcadia 49,22,water,750,22,0.0000
188,Kirk Eklund,Arcadia 34,32,sugar water,500,33,0.0313
189,Kirk Bager,Arcadia 25,31,water,500,33,0.0645
190,Jack Edwards,Arcadia 23,33,sugar free energy drink,500,34,0.0303
191,Noel Clausen,Arcadia 20,35,sugar free energy drink,500,37,0.0571
192,Viggo Bager,Arcadia 13,31,water,500,29,-0.0645
193,Ragnar Sorensen,Arcadia 10,38,water,750,39,0.0263
194,Nikolaus Schulze,Arcadia 6,36,sugar water,750,41,0.1389
195,Koro Sugiyama,Hayarano 109,38,sugar free energy drink,500,36,-0.0526
196,Hans Erickson,Arcadia 3,26,sugar water,250,23,-0.1154
197,Julian Carlsen,Akkeshi 40,30,sugar water,250,32,0.0667
198,Zenjiro Koyama,Hayarano 70,38,sugar free energy drink,500,39,0.0263
199,Kosuke Maeda,Arcadia 4,37,sugar water,250,32,-0.1351
200,Cyril Pasquier,Akkeshi 55,42,sugar water,500,37,-0.1190
201,Minh Regan,Hayarano 40,28,sugar free energy drink,250,32,0.1429
202,Ryotaro Sakaguchi,Akkeshi 59,33,sugar free energy drink,750,35,0.0606
203,Gayan Chatterjee,Hayarano 118,38,water,750,44,0.1579
204,Mike Mccarthy,Akkeshi 76,36,water,250,33,-0.0833
205,Emaan Kulkarni,Hayarano 125,35,water,250,35,0.0000
206,Lee Moore,Akkeshi 112,31,water,250,32,0.0323
207,Mark Collins,Hayarano 143,33,sugar water,250,38,0.1515
208,Benoit Ruiz,Akkeshi 121,35,sugar free energy drink,750,36,0.0286
209,Hector Shaw,Hayarano 176,27,water,250,27,0.0000
210,Cameron Wilson,Akkeshi 127,36,sugar water,750,32,-0.1111
211,Tove Regan,Vardo 29,33,water,500,31,-0.0606
212,Max Leger,Akkeshi 129,37,sugar water,250,35,-0.0541
213,Devak Gadhavi,Vardo 17,33,water,250,34,0.0303
214,Justin Kimura,Akkeshi 143,33,water,750,38,0.1515
215,Sylvain Fabre,Hayarano 202,30,sugar free energy drink,250,31,0.0333
216,Lars Sorensen,Akkeshi 159,28,sugar water,750,30,0.0714
217,Marc Morris ,Hayarano 213,31,water,500,32,0.0323
218,Fabian Pallesen,Akkeshi 171,31,water,250,29,-0.0645
219,Finlay Connolly,Hayarano 224,29,water,750,26,-0.1034
220,Axel Carlsen,Akkeshi 172,34,sugar water,500,30,-0.1176
221,Peter Wilson,Hayarano 248,39,sugar free energy drink,750,39,0.0000
222,Hugues Lamber,Akkeshi 201,35,sugar free energy drink,750,30,-0.1429
223,Auna Collins,Hayarano 251,29,water,250,32,0.1034
224,Leon Solberg,Hayarano 289,22,water,250,24,0.0909
225,Erwan Pelletier,Akkeshi 243,36,sugar free energy drink,500,36,0.0000
226,Florent Pereira,Hayarano 292,44,sugar water,750,41,-0.0682
227,Gael Ruiz,Akkeshi 266,41,sugar free energy drink,750,39,-0.0488
228,Maaran Basu,Hayarano 328,40,sugar free energy drink,750,37,-0.0750
229,Evan Sato,Helluland 9,32,sugar water,500,26,-0.1875
230,Mitchell Sato,Hayarano 351,35,sugar water,500,32,-0.0857
231,Florian Carlsen,Akkeshi 301,30,water,250,30,0.0000
232,Gayan Ramanujan,Hayarano 366,33,sugar water,750,35,0.0606
233,Jack Sato,Akkeshi 309,29,water,500,29,0.0000
234,Salim Reynaud,Hayarano 380,32,sugar water,500,31,-0.0313
235,Ryouta Edwards,Akkeshi 331,40,sugar water,250,34,-0.1500
236,Trevor Mitchell,Hayarano 383,37,sugar water,750,32,-0.1351
237,Anund Sorensen,Akkeshi 335,27,water,750,28,0.0370
238,Duncan Docherty,Biruwa 21,36,sugar water,750,32,-0.1111
239,Patrick Yamada,Helluland 26,33,sugar water,500,30,-0.0909
240,Maximilian Ibsen,Akkeshi 354,30,water,250,30,0.0000
241,Tyr Solberg,Biruwa 17,37,sugar water,750,37,0.0000
242,Hans Jensen,Akkeshi 359,29,water,750,33,0.1379
243,Peter McCarthy,Biruwa 435,29,sugar free energy drink,250,30,0.0345
244,Arvid Sorensen,Akkeshi 372,30,sugar water,500,27,-0.1000
245,Xavier Brown,Biruwa 32,28,water,250,31,0.1071
246,Austin Price,Akkeshi 376,36,water,750,34,-0.0556
247,Jorn Carlsen,Biruwa 34,28,sugar free energy drink,250,30,0.0714
248,Volker Brunner,Helluland 47,35,sugar water,500,36,0.0286
249,Armand Jackson,Biruwa 39,34,water,250,31,-0.0882
250,Hiroshi Takeda,Akkeshi 418,31,sugar free energy drink,250,31,0.0000
251,Prasad Sharma,Biruwa 44,37,sugar free energy drink,750,39,0.0541
252,Ronan Wilson,Akkeshi 423,30,water,500,26,-0.1333
